Date,Name,Tiles,New Tiles,Moving time,Elapsed time,Average,Distance (m),Elevation (m),Type,Commute,Trainer,Max heartrate,Avg heartrate,Start Lat,Start Long,Gear
2023-07-30 18:34:42,"Heavy rain, grazing on blackberries ",7,4,7455,8206,10.1484,21012.5,47.1,Run,0,0,0,0,51.5555,-0.0805394,
2023-07-27 19:06:27,Evening Run,4,0,1046,1309,11.9772,3479.5,15.3,Run,0,0,0,0,51.5556,-0.080564,
2023-07-26 07:20:46,Morning Run,4,0,3368,4697,9.684,9058.4,40.5,Run,0,0,0,0,51.5556,-0.0804497,
2023-07-23 19:44:19,Evening Run,4,0,1304,2055,10.3716,3757.1,14.9,Run,0,0,0,0,51.5553,-0.0802908,
2023-07-22 20:09:37,Night Run,5,1,4073,5099,10.1772,11514.3,43.8,Run,0,0,0,0,51.5555,-0.0805495,
2023-07-13 17:20:25,Afternoon Run,1,0,1979,2197,11.3832,6258.2,32.2,Run,0,0,0,0,51.5653,-0.0524104,
2023-07-10 17:11:06,Afternoon Run,4,0,1877,3011,11.4912,5990.7,23.1,Run,0,0,0,0,51.5554,-0.0805919,
2023-07-08 19:22:28,Evening Run,4,0,3180,3801,10.3572,9150.4,43.4,Run,0,0,0,0,51.5554,-0.0806102,
2023-07-05 07:56:30,Morning Run,5,4,2563,2994,10.548,7508.7,37.1,Run,0,0,0,0,51.4197,-0.947986,
2023-07-04 08:12:25,Morning Run,2,2,653,1640,10.5192,1908.2,29.4,Run,0,0,0,0,51.4198,-0.949513,
2023-06-30 07:03:15,Morning Run,3,0,1842,3900,10.386,5314.3,10.3,Run,0,0,0,0,51.3425,12.3776,
2023-06-28 07:13:02,Morning Run,3,0,1782,4064,10.7424,5317.2,6.7,Run,0,0,0,0,51.3427,12.3781,
2023-06-27 06:36:40,Morning Run,3,3,1743,2376,11.3148,5478.6,4.8,Run,0,0,0,0,51.3422,12.3781,
2023-06-12 19:26:39,Evening Run,1,0,1240,1630,10.2456,3529,12.7,Run,0,0,0,0,51.5647,-0.046122,
2023-06-06 18:27:57,Evening Run,4,0,1944,2233,11.592,6258.7,23,Run,0,0,0,0,51.5554,-0.0805764,
2023-05-31 18:40:29,Night Run,2,0,1469,12276,8.4384,3443.1,8.9,Run,0,0,0,0,51.5554,-0.0805397,
2023-05-13 17:11:27,Night Run,3,0,2117,19978,10.4796,6162.2,22.9,Run,0,0,0,0,51.5553,-0.0805932,
2023-05-11 17:26:01,Evening Run,3,0,1508,2683,10.2888,4310.5,14.9,Run,0,0,0,0,51.5555,-0.0804862,
2023-05-07 20:04:15,Night Run,3,0,1417,4465,9.4212,3708.5,12.8,Run,0,0,0,0,51.5556,-0.0805553,
